# Assembly name:  MGSCv37
# Organism name:  Mus musculus (house mouse)
# Infraspecific name:  strain=C57BL/6J
# Taxid:          10090
# BioProject:     PRJNA169
# Submitter:      Genome Reference Consortium
# Date:           2010-10-21
# Synonyms:       mm9	
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# GenBank assembly accession: GCA_000001635.1
# RefSeq assembly accession: GCF_000001635.18
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000055.1	GCF_000000055.16	Primary Assembly (C57BL/6J)
## GCA_000000415.1	GCF_000000415.1	129/J
## GCA_000000435.1	GCF_000000435.2	129/Sv
## GCA_000000395.1	GCF_000000395.3	129/SvEvTac
## GCA_000000445.1	GCF_000000445.2	129/SvJ
## GCA_000000495.1	GCF_000000495.3	129P2/OlaHsd
## GCA_000000485.1	GCF_000000485.2	129S7/SvEv
## GCA_000000325.1	GCF_000000325.5	A/J
## GCA_000000425.1	GCF_000000425.1	AKR/J
## GCA_000000335.1	GCF_000000335.8	Balb/c
## GCA_000000465.1	GCF_000000465.2	Cast/Ei
## GCA_000000355.1	GCF_000000355.8	NOD
## GCA_000000505.1	GCF_000000505.1	Spret/Ei
## GCA_000000385.1	GCF_000000385.9	unknown strain
## GCA_000004175.1	GCF_000004175.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Mm14_39653_37	alt-scaffold	14	Chromosome	GL456027.1	=	NT_039613.3	129/Sv	503103	na
Mm16_39670_37	alt-scaffold	16	Chromosome	GL456028.1	=	NT_039630.4	129/Sv	1312151	na
Mm17_39704_37	alt-scaffold	17	Chromosome	GL456029.1	=	NT_039664.1	129/Sv	65870	na
Mm17_39705_37	alt-scaffold	17	Chromosome	GL456030.1	=	NT_039665.1	129/Sv	158414	na
MmX_110790_37	alt-scaffold	X	Chromosome	GL456031.1	=	NT_111920.1	129/Sv	247850	na
MmX_39784_37	alt-scaffold	X	Chromosome	GL456032.1	=	NT_039744.2	129/Sv	194271	na
MmX_39787_37	alt-scaffold	X	Chromosome	GL456033.1	=	NT_039747.3	129/Sv	78785	na
Mm1_39232_37	alt-scaffold	1	Chromosome	GL455991.1	=	NT_039192.2	129/SvEvTac	281255	na
Mm1_39234_37	alt-scaffold	1	Chromosome	GL455992.1	=	NT_039194.4	129/SvEvTac	235763	na
Mm1_39238_37	alt-scaffold	1	Chromosome	GL455993.1	=	NT_039198.1	129/SvEvTac	272653	na
Mm4_39331_37	alt-scaffold	4	Chromosome	GL455994.1	=	NT_039291.1	129/SvEvTac	170592	na
Mm5_39374_37	alt-scaffold	5	Chromosome	GL455995.1	=	NT_039334.1	129/SvEvTac	262166	na
Mm8_39509_37	alt-scaffold	8	Chromosome	GL455996.1	=	NT_039469.1	129/SvEvTac	183135	na
Mm8_39510_37	alt-scaffold	8	Chromosome	GL455997.1	=	NT_039470.1	129/SvEvTac	251056	na
Mm11_78748_37	alt-scaffold	11	Chromosome	GL455998.1	=	NT_078683.1	129/SvEvTac	170397	na
Mm13_39634_37	alt-scaffold	13	Chromosome	GL455999.1	=	NT_039594.2	129/SvEvTac	138434	na
Mm15_39662_37	alt-scaffold	15	Chromosome	GL456000.1	=	NT_039622.1	129/SvEvTac	88442	na
Mm16_39674_37	alt-scaffold	16	Chromosome	GL456001.1	=	NT_039634.3	129/SvEvTac	1351377	na
Mm17_39706_37	alt-scaffold	17	Chromosome	GL456002.1	=	NT_039666.1	129/SvEvTac	615654	na
MmX_39779_37	alt-scaffold	X	Chromosome	GL456003.1	=	NT_039739.1	129/SvEvTac	328187	na
MmX_98661_37	alt-scaffold	X	Chromosome	GL456004.1	=	NT_099024.1	129/SvEvTac	123835	na
Mm1_39235_37	alt-scaffold	1	Chromosome	GL456005.1	=	NT_039195.1	129/SvJ	154284	na
Mm3_39288_37	alt-scaffold	3	Chromosome	GL456006.1	=	NT_039248.1	129/SvJ	320308	na
Mm3_39296_37	alt-scaffold	3	Chromosome	GL456007.1	=	NT_039256.1	129/SvJ	273369	na
Mm3_80254_37	alt-scaffold	3	Chromosome	GL456008.1	=	NT_080257.1	129/SvJ	124933	na
Mm4_108188_37	alt-scaffold	4	Chromosome	GL456009.1	=	NT_109318.2	129/SvJ	240498	na
Mm4_39336_37	alt-scaffold	4	Chromosome	GL456010.1	=	NT_039296.1	129/SvJ	76099	na
Mm5_108469_37	alt-scaffold	5	Chromosome	GL456011.1	=	NT_109599.1	129/SvJ	180394	na
Mm6_39412_37	alt-scaffold	6	Chromosome	GL456012.1	=	NT_039372.1	129/SvJ	162691	na
Mm7_39483_37	alt-scaffold	7	Chromosome	GL456013.1	=	NT_039443.1	129/SvJ	34498	na
Mm7_78637_37	alt-scaffold	7	Chromosome	GL456014.1	=	NT_078572.1	129/SvJ	91251	na
Mm10_78716_37	alt-scaffold	10	Chromosome	GL456015.1	=	NT_078651.1	129/SvJ	77891	na
Mm11_39565_37	alt-scaffold	11	Chromosome	GL456016.1	=	NT_039525.1	129/SvJ	161334	na
Mm12_112696_37	alt-scaffold	12	Chromosome	GL456017.1	=	NT_114985.2	129/SvJ	1380717	na
Mm12_39612_37	alt-scaffold	12	Chromosome	GL456018.1	=	NT_039572.1	129/SvJ	124254	na
Mm14_39654_37	alt-scaffold	14	Chromosome	GL456019.1	=	NT_039614.1	129/SvJ	1666365	na
Mm14_96434_37	alt-scaffold	14	Chromosome	GL456020.1	=	NT_096797.1	129/SvJ	105813	na
Mm17_39701_37	alt-scaffold	17	Chromosome	GL456021.1	=	NT_039661.3	129/SvJ	1281122	na
Mm17_39702_37	alt-scaffold	17	Chromosome	GL456022.1	=	NT_039662.2	129/SvJ	1736643	na
Mm17_39703_37	alt-scaffold	17	Chromosome	GL456023.1	=	NT_039663.1	129/SvJ	226594	na
129P2/OLAHSD_MMCHR19_CTG1	alt-scaffold	19	Chromosome	GL456079.1	=	NT_039697.1	129P2/OlaHsd	46440	na
Mm4_163467_37	alt-scaffold	4	Chromosome	GL456075.1	=	NT_166293.1	129S7/SvEv	264822	na
Mm4_163468_37	alt-scaffold	4	Chromosome	GL456076.1	=	NT_166294.1	129S7/SvEv	191695	na
Mm4_163469_37	alt-scaffold	4	Chromosome	GL456077.1	=	NT_166295.1	129S7/SvEv	83218	na
Mm12_163496_37	alt-scaffold	12	Chromosome	GL456078.1	=	NT_166322.1	129S7/SvEv	99963	na
A/J_MMCHR13_CTG1	alt-scaffold	13	Chromosome	GL455990.1	=	NT_039593.1	A/J	100803	na
AKR/J_MMCHRY_CTG1	alt-scaffold	Y	Chromosome	GL456080.1	=	NT_166394.1	AKR/J	191521	na
AKR/J_MMCHRY_CTG2	alt-scaffold	Y	Chromosome	GL456081.1	=	NT_166397.1	AKR/J	185346	na
AKR/J_MMCHRY_CTG3	alt-scaffold	Y	Chromosome	GL456082.1	=	NT_166400.1	AKR/J	209635	na
Mm7_95171_36	alt-scaffold	7	Chromosome	GL455989.1	=	NT_095534.1	Balb/c	55856	na
MmY_163570_37	alt-scaffold	Y	Chromosome	GL456071.1	=	NT_166396.1	Cast/Ei	189119	na
MmY_163572_37	alt-scaffold	Y	Chromosome	GL456072.1	=	NT_166398.1	Cast/Ei	204663	na
MmY_163573_37	alt-scaffold	Y	Chromosome	GL456073.1	=	NT_166399.1	Cast/Ei	196014	na
Mm1_163271_37	alt-scaffold	1	Chromosome	GL456036.1	=	NT_165757.1	NOD	456798	na
Mm1_39237_37	alt-scaffold	1	Chromosome	GL456037.1	=	NT_039197.1	NOD	187142	na
Mm1_39239_37	alt-scaffold	1	Chromosome	GL456038.1	=	NT_039199.1	NOD	289662	na
Mm1_39240_37	alt-scaffold	1	Chromosome	GL456039.1	=	NT_039200.1	NOD	177519	na
Mm1_39241_37	alt-scaffold	1	Chromosome	GL456040.1	=	NT_039201.1	NOD	199536	na
Mm3_108181_37	alt-scaffold	3	Chromosome	GL456041.1	=	NT_109311.1	NOD	141661	na
Mm3_111968_37	alt-scaffold	3	Chromosome	GL456042.1	=	NT_114257.3	NOD	689363	na
Mm3_111969_37	alt-scaffold	3	Chromosome	GL456043.1	=	NT_114258.1	NOD	194230	na
Mm3_163461_37	alt-scaffold	3	Chromosome	GL456044.1	=	NT_166287.1	NOD	325555	na
Mm3_39287_37	alt-scaffold	3	Chromosome	GL456045.1	=	NT_039247.1	NOD	161821	na
Mm3_39290_37	alt-scaffold	3	Chromosome	GL456046.1	=	NT_039250.1	NOD	509460	na
Mm3_39291_37	alt-scaffold	3	Chromosome	GL456047.1	=	NT_039251.2	NOD	402204	na
Mm3_39292_37	alt-scaffold	3	Chromosome	GL456048.1	=	NT_039252.1	NOD	292416	na
Mm3_39297_37	alt-scaffold	3	Chromosome	GL456049.1	=	NT_039257.3	NOD	243366	na
Mm3_80253_37	alt-scaffold	3	Chromosome	GL456050.1	=	NT_080256.1	NOD	142341	na
Mm4_163471_37	alt-scaffold	4	Chromosome	GL456051.1	=	NT_166297.1	NOD	140602	na
Mm4_163472_37	alt-scaffold	4	Chromosome	GL456052.1	=	NT_166298.1	NOD	165559	na
Mm4_163473_37	alt-scaffold	4	Chromosome	GL456053.1	=	NT_166299.1	NOD	160228	na
Mm6_163479_37	alt-scaffold	6	Chromosome	GL456054.1	=	NT_166305.1	NOD	231326	na
Mm11_109495_37	alt-scaffold	11	Chromosome	GL456055.1	=	NT_110625.3	NOD	472026	na
Mm11_109496_37	alt-scaffold	11	Chromosome	GL456056.1	=	NT_110626.2	NOD	288542	na
Mm11_112593_37	alt-scaffold	11	Chromosome	GL456057.1	=	NT_114882.1	NOD	10755	na
Mm11_112594_37	alt-scaffold	11	Chromosome	GL456058.1	=	NT_114883.1	NOD	218726	na
Mm11_163288_37	alt-scaffold	11	Chromosome	GL456059.1	=	NT_165774.1	NOD	114510	na
Mm11_163491_37	alt-scaffold	11	Chromosome	GL456060.1	=	NT_166317.1	NOD	159511	na
Mm17_163295_37	alt-scaffold	17	Chromosome	GL456061.1	=	NT_165781.2	NOD	893685	na
Mm17_163296_37	alt-scaffold	17	Chromosome	GL456062.1	=	NT_165782.2	NOD	671861	na
Mm17_163503_37	alt-scaffold	17	Chromosome	GL456063.1	=	NT_166329.1	NOD	258652	na
MmY_163567_37	alt-scaffold	Y	Chromosome	GL456034.1	=	NT_166393.1	Spret/Ei	179651	na
MmY_163569_37	alt-scaffold	Y	Chromosome	GL456035.1	=	NT_166395.1	Spret/Ei	168299	na
Mm4_39332_37	alt-scaffold	4	Chromosome	GL456064.1	=	NT_039292.1	unknown strain	138473	na
Mm6_39407_37	alt-scaffold	6	Chromosome	GL456065.1	=	NT_039367.1	unknown strain	198515	na
Mm12_163493_37	alt-scaffold	12	Chromosome	GL456066.1	=	NT_166319.1	unknown strain	149371	na
Mm12_163494_37	alt-scaffold	12	Chromosome	GL456067.1	=	NT_166320.1	unknown strain	152217	na
Mm12_95992_37	alt-scaffold	12	Chromosome	GL456068.1	=	NT_096355.1	unknown strain	59641	na
Mm17_96973_37	alt-scaffold	17	Chromosome	GL456069.1	=	NT_097336.1	unknown strain	138490	na
Mm18_163298_37	alt-scaffold	18	Chromosome	GL456070.1	=	NT_165784.1	unknown strain	85548	na
MT	assembled-molecule	MT	Mitochondrion	AY172335.1	=	NC_005089.1	non-nuclear	16299	chrM
